id,generic_name,scientific_name,english_name,sex,file_url,length,license,location,bird_type,also,smp,seen,regnr,file,source
668542,Ninox,novaeseelandiae,Morepork,uncertain,https://xeno-canto.org/668542/download,37,//creativecommons.org/licenses/by-nc-sa/4.0/,"Whangārei_Heads,_Whangarei_District,_Northland",song,[],48000,no,,https://xeno-canto.org/668542/download,Xeno-Canto
638197,Ninox,novaeseelandiae,Morepork,uncertain,https://xeno-canto.org/638197/download,48,//creativecommons.org/licenses/by-nc-sa/4.0/,"Te_Tii,_Far_North_District,_Northland",song,[],48000,unknown,,https://xeno-canto.org/638197/download,Xeno-Canto
602419,Ninox,novaeseelandiae,Morepork,uncertain,https://xeno-canto.org/602419/download,20,//creativecommons.org/licenses/by/4.0/,"Marlborough_District,_Marlborough",song,[],44100,no,,https://xeno-canto.org/602419/download,Xeno-Canto
405536,Ninox,novaeseelandiae,Morepork,,https://xeno-canto.org/405536/download,20,//creativecommons.org/licenses/by-nc-sa/4.0/,"Charleston,_Buller_District,_West_Coast",song,[],48000,no,,https://xeno-canto.org/405536/download,Xeno-Canto
404843,Ninox,novaeseelandiae,Morepork,male,https://xeno-canto.org/404843/download,77,//creativecommons.org/licenses/by-nc-sa/4.0/,"Paringa,_Westland_District,_West_Coast",song,[],48000,no,,https://xeno-canto.org/404843/download,Xeno-Canto
354393,Ninox,novaeseelandiae,Morepork,,https://xeno-canto.org/354393/download,57,//creativecommons.org/licenses/by-nc-nd/4.0/,"Mount_Cargill,_Dunedin_City,_Otago",song,[],48000,no,,https://xeno-canto.org/354393/download,Xeno-Canto
114338,Ninox,novaeseelandiae,Morepork,,https://xeno-canto.org/114338/download,38,//creativecommons.org/licenses/by-nc-sa/3.0/,"Bullock_Creek_Road,_Paparoa_National_Park,_Buller_District,_West_Coast",song,[],44100,yes,,https://xeno-canto.org/114338/download,Xeno-Canto
33770,Ninox,novaeseelandiae,Morepork,,https://xeno-canto.org/33770/download,29,//creativecommons.org/licenses/by-nc-sa/3.0/,"Pakihi,_Okarito",song,[],44100,unknown,,https://xeno-canto.org/33770/download,Xeno-Canto
345370,Ninox,novaeseelandiae,Morepork,,https://xeno-canto.org/345370/download,92,//creativecommons.org/licenses/by-nc-sa/4.0/,"Barrytown,_Buller_District,_West_Coast",song,[],44100,yes,,https://xeno-canto.org/345370/download,Xeno-Canto
206471,Ninox,novaeseelandiae,Morepork,,https://xeno-canto.org/206471/download,13,//creativecommons.org/licenses/by-nc-sa/4.0/,"Bullock_Creek_Road,_Paparoa_National_Park,_Buller_District,_West_Coast",song,[],48000,no,,https://xeno-canto.org/206471/download,Xeno-Canto
153818,Ninox,novaeseelandiae,Morepork,,https://xeno-canto.org/153818/download,82,//creativecommons.org/licenses/by-nc-nd/3.0/,"Fiordland_National_Park,_Southland_District,_Southland",song,[],48000,yes,,https://xeno-canto.org/153818/download,Xeno-Canto
